id,title,author,gradeLevel,subject,coverImageId,googleDriveLink,content
"l0-math","كتاب الرياضيات","وزارة التربية","0","رياضيات","l0-math","https://drive.google.com/uc?export=download&id=1wIQ3sZYGJlKV2UYypIK-ZgQYKY8AWJ_G","كتاب الرياضيات للمستوى 0"
"l0-arabic","كتاب اللغة العربية","وزارة التربية","0","لغة عربية","l0-arabic","https://drive.google.com/uc?export=download&id=11kDqwvAR_FmjRikPypjoKo-h-Yc1E622","كتاب اللغة العربية للمستوى 0"
"l1-math","كتاب الرياضيات","وزارة التربية","1","رياضيات","l1-math","https://drive.google.com/uc?export=download&id=1TTQYIAm4jpHDk8nc_EGh0goVoihGZRCL","كتاب الرياضيات للمستوى 1"
"l1-arabic","كتاب اللغة العربية","وزارة التربية","1","لغة عربية","l1-arabic","https://drive.google.com/uc?export=download&id=1f0az_IoN59wrdfz-bQ3fYFUr9Wzu0XrK","كتاب اللغة العربية للمستوى 1"
"l1-math-activity","أنشطة الرياضيات","وزارة التربية","1","أنشطة رياضيات","l1-math-activity","https://drive.google.com/uc?export=download&id=1zf3as638Lb1P8L4yz4ZCY-iCxKss-UYd","كتاب أنشطة الرياضيات للمستوى 1"
"l1-arabic-activity","أنشطة اللغة العربية","وزارة التربية","1","أنشطة لغة عربية","l1-arabic-activity","https://drive.google.com/uc?export=download&id=1drfdNuW5RNaWhdrxUl3wYUD1H452-J2b","كتاب أنشطة اللغة العربية للمستوى 1"
"l2-math","كتاب الرياضيات","وزارة التربية","2","رياضيات","l2-math","https://drive.google.com/uc?export=download&id=1Qw2HQa5-n2o9_cHNf-JaNSp2gx5_OLcX","كتاب الرياضيات للمستوى 2"
"l2-arabic","كتاب اللغة العربية","وزارة التربية","2","لغة عربية","l2-arabic","https://drive.google.com/uc?export=download&id=1oYceUUGNtUAO0C-XnkIHMTZ5kknPA_5J","كتاب اللغة العربية للمستوى 2"
"l2-math-activity","أنشطة الرياضيات","وزارة التربية","2","أنشطة رياضيات","l2-math-activity","https://drive.google.com/uc?export=download&id=1MjT8OUa6NmesJ76dudTjk-lFisz_VRif","كتاب أنشطة الرياضيات للمستوى 2"
"l2-arabic-activity","أنشطة اللغة العربية","وزارة التربية","2","أنشطة لغة عربية","l2-arabic-activity","https://drive.google.com/uc?export=download&id=1C7SNCzSqkZK01cmwPdy3reeiuMtOxyuR","كتاب أنشطة اللغة العربية للمستوى 2"
"l3-civics","كتاب التربية المدنية","وزارة التربية","3","تربية مدنية","l3-civics","https://drive.google.com/uc?export=download&id=1cMkI0t_K9dY0JOuBgo5SkUVTcTLyGoj2","كتاب التربية المدنية للمستوى 3"
"l3-english","كتاب الإنجليزية","وزارة التربية","3","إنجليزية","l3-english","https://drive.google.com/uc?export=download&id=1_DgP2RP4SL0S3CoTNn7zNbWkwmn6x2dz","كتاب الإنجليزية للمستوى 3"
"l3-math","كتاب الرياضيات","وزارة التربية","3","رياضيات","l3-math","https://drive.google.com/uc?export=download&id=1t1LAUB7dTppxBAoUOSd2DmOtGp09Juus","كتاب الرياضيات للمستوى 3"
"l3-hist-geo","كتاب التاريخ والجغرافيا","وزارة التربية","3","تاريخ وجغرافيا","l3-hist-geo","https://drive.google.com/uc?export=download&id=1g8mjIRS7RQ7vGgNKc33CiPwmrXGZtmzU","كتاب التاريخ والجغرافيا للمستوى 3"
"l3-islamic","كتاب التربية الإسلامية","وزارة التربية","3","تربية إسلامية","l3-islamic","https://drive.google.com/uc?export=download&id=1s8cjQYOtunVcnZ7gsUum5_QkG0L5wv2_","كتاب التربية الإسلامية للمستوى 3"
"l3-science","كتاب التربية العلمية","وزارة التربية","3","تربية علمية","l3-science","https://drive.google.com/uc?export=download&id=1IZ9c40P50b9ylh_6OxIM0hcpJyjAeL","كتاب التربية العلمية للمستوى 3"
"l3-french","كتاب اللغة الفرنسية","وزارة التربية","3","لغة فرنسية","l3-french","https://drive.google.com/uc?export=download&id=H74R0nnRD3p5HI07oWwTfbDJrRj","كتاب اللغة الفرنسية للمستوى 3"
"l3-math-activity","أنشطة الرياضيات","وزارة التربية","3","أنشطة رياضيات","l3-math-activity","https://drive.google.com/uc?export=download&id=1wy2HQ0YLB0-sBffAiuCwmGpgNeO8kUXC","كتاب أنشطة الرياضيات للمستوى 3"
"l3-french-activity","أنشطة الفرنسية","وزارة التربية","3","أنشطة فرنسية","l3-french-activity","https://drive.google.com/uc?export=download&id=1qzIuD3LleIntoamVc7yE1oDRNfjZngU0","كتاب أنشطة الفرنسية للمستوى 3"
"l3-arabic","كتاب اللغة العربية","وزارة التربية","3","لغة عربية","l3-arabic","https://drive.google.com/uc?export=download&id=1J3Ek2uXrKdIZf6N6p0uxLtJado42ujmj","كتاب اللغة العربية للمستوى 3"
"l3-arabic-activity","أنشطة اللغة العربية","وزارة التربية","3","أنشطة لغة عربية","l3-arabic-activity","https://drive.google.com/uc?export=download&id=1hTuRgqcH5Ulwv2SWJ93SCa-NtU8__UWu","كتاب أنشطة اللغة العربية للمستوى 3"
"l4-amazigh","كتاب الأمازيغية","وزارة التربية","4","أمازيغية","l4-amazigh","https://drive.google.com/uc?export=download&id=1JxNzyk-qGRUJpU2Ip91pk4IEBj6tRpiD","كتاب الأمازيغية للمستوى 4"
"l4-hist-geo","كتاب التاريخ والجغرافيا","وزارة التربية","4","تاريخ وجغرافيا","l4-hist-geo","https://drive.google.com/uc?export=download&id=1AJFeqSVXYXg_uUv0Fate9VPjP6CFOA3V","كتاب التاريخ والجغرافيا للمستوى 4"
"l4-islamic","كتاب التربية الإسلامية","وزارة التربية","4","تربية إسلامية","l4-islamic","https://drive.google.com/uc?export=download&id=1gUfxW2tLu9uLCEjrpCGRSBRqQntOSB3C","كتاب التربية الإسلامية للمستوى 4"
"l4-science","كتاب التربية العلمية","وزارة التربية","4","تربية علمية","l4-science","https://drive.google.com/uc?export=download&id=1LWqDkMVFS6UDm7Pz7xaDTri0iEGeqdlc","كتاب التربية العلمية للمستوى 4"
"l4-civics","كتاب التربية المدنية","وزارة التربية","4","تربية مدنية","l4-civics","https://drive.google.com/uc?export=download&id=1LfJ0EmS8BHXo1SptmIV-wVMpJU9Gy9yD","كتاب التربية المدنية للمستوى 4"
"l4-math","كتاب الرياضيات","وزارة التربية","4","رياضيات","l4-math","https://drive.google.com/uc?export=download&id=1OMFaaxsD6_qPffMo4J9ewUcONGb2LjFI","كتاب الرياضيات للمستوى 4"
"l4-english","كتاب الإنجليزية","وزارة التربية","4","إنجليزية","l4-english","https://drive.google.com/uc?export=download&id=1tSBmV97GTNL73tgkx45W_VbnDq-_RhPd","كتاب الإنجليزية للمستوى 4"
"l4-french","كتاب اللغة الفرنسية","وزارة التربية","4","لغة فرنسية","l4-french","https://drive.google.com/uc?export=download&id=1VdNtnHu5Itzg63WmNjO1fkM60xeSom75","كتاب اللغة الفرنسية للمستوى 4"
"l4-math-activity","أنشطة الرياضيات","وزارة التربية","4","أنشطة رياضيات","l4-math-activity","https://drive.google.com/uc?export=download&id=1s727Nz-6m9vNWFN4NiP15ztdROSotJMK","كتاب أنشطة الرياضيات للمستوى 4"
